,fund_house,scheme_type,scheme_category,scheme_code,scheme_name,date,nav
10643,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,122457,Reliance Fixed Horizon Fund - XXIII - Series 11 - Growth Option,20-05-2013,10.01200
10644,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,122615,Reliance Fixed Horizon Fund - XXIII - Series 12 - Direct Plan - Growth  Option,18-06-2013,10.01120
10645,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,122617,Reliance Fixed Horizon Fund - XXIII - Series 12 - Dividend Payout Option,18-06-2013,10.01100
10646,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,122614,Reliance Fixed Horizon Fund - XXIII - Series 12 - Growth Option,18-06-2013,10.01100
10647,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,121757,Reliance Fixed Horizon Fund - XXIII - Series 8 - Direct Plan - Dividend Payout Option,02-04-2013,10.02180
10648,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,121755,Reliance Fixed Horizon Fund - XXIII - Series 8 - Direct Plan - Growth Option,02-04-2013,10.02180
10649,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,121756,Reliance Fixed Horizon Fund - XXIII - Series 8 - Dividend Payout Option,02-04-2013,10.02150
10650,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,121758,Reliance Fixed Horizon Fund - XXIII - Series 8 - Growth Option,02-04-2013,10.02150
10651,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123456,Reliance Fixed Horizon Fund - XXIV - Series 10 - Direct Plan - Dividend Payout Option,30-08-2013,10.01770
10652,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,123457,Reliance Fixed Horizon Fund - XXIV - Series 10 - Direct Plan - Growth Option,30-08-2013,10.01770
